NumStories,ParcelID,Height_Ft,FromH7,Residential Exemption,AC Type,Address,Bath Style 1,Bath Style 2,Bath Style 3,Bathrooms,Bedrooms,Classification Code,Commercial units,Community Preservation,Condition,Exterior Condition,Exterior Finish,FY2024 Building value,FY2024 Gross Tax,FY2024 Land Value,FY2024 Net Tax,FY2024 Total Assessed Value,Fireplaces,Foundation,Grade,Half Bathrooms,Heat Type,Interior Condition,Kitchen Style 1,Kitchen Style 2,Kitchen Style 3,Kitchen Type,Land Use,Living Area,Lot Size,Mixed-use units,Number of Kitchens,Other Fixtures,Parking Spots,Personal Exemption,Property Type,Quality,Residential Exemption,Residential units,Roof Cover,Roof Structure,Size/sqft,Style,Total Rooms,Total units (sum of values),Total units,Type,View,Year Built,distance,formatted,lat,lon,Centr_Lat,Centr_Lon,GoogleLnk,Ground_Elevation_Ft,Model_LOD,ZMax,ZMin
2,1301202000,24.45996383,1,$0.00 ,None,8  CEYLON ST BOSTON MA 02125,Semi-Modern,,,1,2,0101 (Residential Property  / SINGLE FAM DWELLING),,$19.19 ,,Fair,Vinyl,"$176,600.00 ","$3,009.49 ","$99,500.00 ","$3,028.68 ","$276,100.00 ",1,Concrete,Average,0,Ht Water/Steam,Average,Semi-Modern,,,1 Full Eat In Kitchens,101 - SINGLE FAM DWELLING,"1,188 sq ft","1,769 sq ft",,1,0,1,No,One Family,,No,,Asphalt Shingl,Hip,,Colonial,6,,,,Fair,1905,0,"8 Ceylon Street, Boston, MA 02121, United States of America",42.3127903,-71.0713751,42.312793,-71.07137431,"https://www.google.com/maps/search//@42.3107930019413,-71.0713743095902,263a,35y,39.46t/data=!3m1!1e3",59.04,1,83.49996383,54.00002283
3,1301585000,36.20015692,1,$0.00 ,,78  SAWYER AV BOSTON MA 02125,,,,,,0995 (Exempt Property Type / CONDO MAIN),0,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,,,,,,,,0 sq ft,"3,067 sq ft",0,,,,No,Condo Main Building,,No,0,,,,,,"$1,602,800 ",0,,,1905,0,"78 Sawyer Avenue, Boston, MA 02125, United States of America",42.31244585,-71.06209107,42.31244759,-71.06209136,"https://www.google.com/maps/search//@42.310447585342,-71.0620913627112,263a,35y,39.46t/data=!3m1!1e3",114.8,1,151.0001569,112.9999048
2,1503010000,14.67997683,1,"$3,610.53 ",Central AC,28  HIGH ST BOSTON MA 02122,Semi-Modern,Semi-Modern,,2,5,0101 (Residential Property  / SINGLE FAM DWELLING),,$8.08 ,,Average,Asbestos,"$296,200.00 ","$5,508.86 ","$209,200.00 ","$1,906.41 ","$505,400.00 ",0,Stone,Average,0,Ht Water/Steam,Average,Semi-Modern,,,1 Full Eat In Kitchens,101 - SINGLE FAM DWELLING,"2,947 sq ft","4,843 sq ft",,1,0,2,No,One Family,,Yes,,Asphalt Shingl,Gable,,Colonial,12,,,,Average,1870,0,"28 High Street, Boston, MA 02122, United States of America",42.3091578,-71.06103408,42.30916071,-71.06103476,"https://www.google.com/maps/search//@42.3071607126083,-71.0610347577064,263a,35y,39.46t/data=!3m1!1e3",62.32,1,76.99997683,60.50000983
3,1301950000,26.04003283,1,$0.00 ,None,261  E COTTAGE ST BOSTON MA 02125,Semi-Modern,Semi-Modern,Semi-Modern,3,6,0105 (Residential Property  / THREE-FAM DWELLING),,$115.39 ,,Average,Asphalt,"$878,400.00 ","$12,628.74 ","$280,200.00 ","$12,744.13 ","$1,158,600.00 ",0,Stone,Average,0,Forced Hot Air,Average,Semi-Modern,Semi-Modern,Semi-Modern,3 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"3,792 sq ft","2,835 sq ft",,3,0,0,No,Three Family,,No,,Composition,Flat,,Decker,15,,,,Average,1905,0,"261 East Cottage Street, Boston, MA 02125, United States of America",42.3183838,-71.05802441,42.31839374,-71.05803041,"https://www.google.com/maps/search//@42.3163937396498,-71.0580304116806,263a,35y,39.46t/data=!3m1!1e3",22.96,1,49.00003283,18.00009483
2.5,1502717000,14.95019732,1,"$3,610.53 ",None,27  TRULL ST BOSTON MA 02125,Semi-Modern,Semi-Modern,Semi-Modern,3,10,0104 (Residential Property  / TWO-FAM DWELLING),,$37.63 ,Average,Average,Vinyl,"$476,400.00 ","$8,463.85 ","$300,100.00 ","$4,890.95 ","$776,500.00 ",1,Stone,Average,1,Ht Water/Steam,Average,No Remodeling,No Remodeling,,2 Full Eat In Kitchens,104 - TWO-FAM DWELLING,"3,712 sq ft","9,130 sq ft",,2,0,3,No,Two Family,VERY GOOD,Yes,,Asphalt Shingl,Gable,120,Conventional,13,,,Shed,Average,1900,0,"27 Trull Street, Boston, MA 02125, United States of America",42.3118729,-71.06724295,42.31187707,-71.06726091,"https://www.google.com/maps/search//@42.309877069626495,-71.0672609139246,263a,35y,39.46t/data=!3m1!1e3",62.04977952,1,76.99997683,57.50001583
3,1502727000,22.79998683,1,$0.00 ,,12-14 WARE ST BOSTON MA 02125,,,,,,0995 (Exempt Property Type / CONDO MAIN),0,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,,,,,,,,0 sq ft,"6,666 sq ft",0,,,,No,Condo Main Building,,No,0,,,,,,"$974,400 ",0,,,2006,0.741081905,"14 Ware Street, Dorchester, MA 02125, United States of America",42.311467,-71.065621,42.31147197,-71.065627,"https://www.google.com/maps/search//@42.3094719734029,-71.0656269992602,263a,35y,39.46t/data=!3m1!1e3",49.2,1,71.99998683,46.00003883
3,1301376000,5.27723975,1,$0.00 ,,26  JEROME ST BOSTON MA 02125,,,,,,0995 (Exempt Property Type / CONDO MAIN),0,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,,,,,,,,0 sq ft,"4,206 sq ft",0,,,,No,Condo Main Building,,No,0,,,,,,"$1,761,400 ",0,,,1895,4.775348881,"26 Jerome Street, Boston, MA 02125, United States of America",42.3147212,-71.06352394,42.31467629,-71.06342877,"https://www.google.com/maps/search//@42.312676289504196,-71.0634287658355,263a,35y,39.46t/data=!3m1!1e3",95.12,1.5,100.3972398,90.12166975
2.5,1502730000,38.95711976,1,$0.00 ,None,6  WARE ST BOSTON MA 02125,Semi-Modern,Semi-Modern,Semi-Modern,3,6,0101 (Residential Property  / SINGLE FAM DWELLING),,$46.62 ,Average,Average,Vinyl,"$329,000.00 ","$5,751.93 ","$198,700.00 ","$5,798.55 ","$527,700.00 ",1,Brick,Average,0,Forced Hot Air,Average,Modern,,,1 Full Eat In Kitchens,101 - SINGLE FAM DWELLING,"3,729 sq ft","5,590 sq ft",,1,0,2,No,One Family,AVERAGE,No,,Asphalt Shingl,Gable,80,Colonial,12,,,Shed,Average,1915,0,"6 Ware Street, Boston, MA 02125, United States of America",42.31170495,-71.06617139,42.31171124,-71.0661847,"https://www.google.com/maps/search//@42.3097112398113,-71.0661846987839,263a,35y,39.46t/data=!3m1!1e3",51.04283108,1,89.99995083,47.50003583
2.5,1302047000,26.48001883,1,$0.00 ,None,1015  DORCHESTER AV BOSTON MA 02125,Modern,Modern,Modern,3,5,0105 (Residential Property  / THREE-FAM DWELLING),,$153.85 ,,Average,Frame/Clapbrd,"$1,060,400.00 ","$16,475.35 ","$451,100.00 ","$16,629.20 ","$1,511,500.00 ",0,Brick,Average,0,Forced Hot Air,Good,Modern,Modern,Modern,3 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"4,583 sq ft","6,114 sq ft",,3,0,0,No,Three Family,,No,,Asphalt Shingl,Gable,,Conventional,14,,,,Average,1890,0,"1015 Dorchester Avenue, Boston, MA 02125, United States of America",42.31617115,-71.05694356,42.31617642,-71.05693719,"https://www.google.com/maps/search//@42.3141764221526,-71.0569371954108,263a,35y,39.46t/data=!3m1!1e3",29.52,1,56.00001883,24.50008183
2,1301329010,24.83993683,1,"$3,610.53 ",None,26  VIRGINIA ST BOSTON MA 02125,Modern,Modern,,2,3,0101 (Residential Property  / SINGLE FAM DWELLING),,$0.00 ,,Good,Frame/Clapbrd,"$288,934.00 ","$4,314.22 ","$106,866.00 ",$703.69 ,"$395,800.00 ",0,Concrete,Average,0,Ht Water/Steam,Good,Modern,,,1 Full Eat In Kitchens,101 - SINGLE FAM DWELLING,"1,035 sq ft","2,923 sq ft",,1,0,2,No,One Family,,Yes,,Asphalt Shingl,Gable,,Semi-Det,6,,,,Average,1990,2.216411101,"26 Virginia Street, Dorchester, MA 02125, United States of America",42.316347,-71.067491,42.31636436,-71.06747775,"https://www.google.com/maps/search//@42.314364360749295,-71.0674777534259,263a,35y,39.46t/data=!3m1!1e3",72.16,1,96.99993683,68.99999283
2.5,1301330000,31.11993083,1,"$3,610.53 ",None,20  VIRGINIA ST BOSTON MA 02125,Semi-Modern,Semi-Modern,Semi-Modern,3,7,0104 (Residential Property  / TWO-FAM DWELLING),,$39.44 ,Average,Average,Asphalt,"$368,900.00 ","$8,644.79 ","$424,200.00 ","$5,073.70 ","$793,100.00 ",0,Brick,Average,0,Forced Hot Air,Average,Semi-Modern,Semi-Modern,,2 Full Eat In Kitchens,104 - TWO-FAM DWELLING,"5,054 sq ft","9,016 sq ft",,2,0,7,No,Two Family,AVERAGE,Yes,,Asphalt Shingl,Gable,240,Conventional,14,,,Garage,Average,1885,0,"20 Virginia Street, Boston, MA 02125, United States of America",42.3165634,-71.0672699,42.31656507,-71.0672562,"https://www.google.com/maps/search//@42.3145650722251,-71.0672562012022,263a,35y,39.46t/data=!3m1!1e3",68.88,1,99.99993083,68.99999283
3,1302140000,35.52546107,1,$0.00 ,None,1085  DORCHESTER AV BOSTON MA 02125,Modern,Modern,Modern,3,12,0105 (Residential Property  / THREE-FAM DWELLING),,$171.91 ,,Good,Vinyl,"$1,413,600.00 ","$18,281.48 ","$263,600.00 ","$18,453.39 ","$1,677,200.00 ",0,Stone,Average,3,Forced Hot Air,Good,Modern,Modern,Modern,3 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"4,362 sq ft","2,210 sq ft",,3,0,0,No,Three Family,,No,,Rubber Roof,Flat,,Decker,20,,,,Average,1905,0,"1085 Dorchester Avenue, Boston, MA 02125, United States of America",42.31367195,-71.05728715,42.31367967,-71.05728187,"https://www.google.com/maps/search//@42.3116796672062,-71.0572818654994,263a,35y,39.46t/data=!3m1!1e3",16.97456476,1,52.50002583,13.00010483
2.5,1502443000,4.960002833,1,$0.00 ,None,25  BODWELL ST BOSTON MA 02125,Semi-Modern,Semi-Modern,,1,6,0101 (Residential Property  / SINGLE FAM DWELLING),,$41.58 ,,Good,Vinyl,"$322,000.00 ","$5,248.35 ","$159,500.00 ","$5,289.93 ","$481,500.00 ",3,Stone,Average,1,Ht Water/Steam,Average,Semi-Modern,,,1 Full Eat In Kitchens,101 - SINGLE FAM DWELLING,"2,622 sq ft","3,630 sq ft",,1,0,2,No,One Family,,No,,Asphalt Shingl,Gambrel,,Colonial,10,,,,Average,1910,4.681472802,"25 Bodwell Street, Boston, MA 02125, United States of America",42.3132033,-71.07022788,42.31328241,-71.07010908,"https://www.google.com/maps/search//@42.3112824082178,-71.0701090777017,263a,35y,39.46t/data=!3m1!1e3",59.04,1,64.00000283,52.50002583
